Nome,Clube,status_convocacao,Link_Fbref,link_img,Posição
Alex Sandro,Flamengo,Convocado,https://fbref.com/en/players/0d82903c/Alex-Sandro,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Alex_Sandro__Flamengo_-removebg-preview.png,Defensor
Alexsandro Ribeiro,Lille,Pré-Lista,https://fbref.com/en/players/102c9665/Alexsandro-Ribeiro,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Alexsandro_Ribeiro__Lille_-removebg-preview.png,Defensor
Alisson,Liverpool,Convocado,https://fbref.com/en/players/7a2e46a8/Alisson,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Alisson__Liverpool_-removebg-preview.png,GOLEIRO
Andreas Pereira,Palmeiras,Pré-Lista,https://fbref.com/en/players/6639e500/Andreas-Pereira,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Andreas_Pereira__Palmeiras_-removebg-preview.png,Meio-campo
Andrey Santos,Chelsea,Pré-Lista,https://fbref.com/en/players/dd745366/Andrey-Santos,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Andrey_Santos__Chelsea_-removebg-preview.png,Meio-campo
Antony,Betis,Pré-Lista,https://fbref.com/en/players/99127249/Antony,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Antony__Betis_-removebg-preview.png,Atacante
Bento,Al-Nassr,Pré-Lista,https://fbref.com/en/players/5d699228/Bento,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Bento__Al-Nassr_-removebg-preview.png,GOLEIRO
Bremer,Juventus,Convocado,https://fbref.com/en/players/5fd5ed86/Gleison-Bremer,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Bremer__Juventus_-removebg-preview.png,Defensor
Bruno Guimarães,Newcastle,Convocado,https://fbref.com/en/players/82518f62/Bruno-Guimaraes,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Bruno_Guimar%C3%A3es__Newcastle_-removebg-preview.png,Meio-campo
Carlos Augusto,Inter de Milão,Pré-Lista,https://fbref.com/en/players/8d3cd59d/Carlos-Augusto,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Carlos_Augusto__Inter_de_Mil%C3%A3o_-removebg-preview.png,Defensor
Casemiro,Manchester United,Convocado,https://fbref.com/en/players/4d224fe8/Casemiro,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Casemiro__Manchester_United_-removebg-preview.png,Meio-campo
Danilo,Flamengo,Convocado,https://fbref.com/en/players/94b2001f/Danilo,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Danilo__Flamengo_-removebg-preview.png,Defensor
Danilo Santos,Botafogo,Convocado,https://fbref.com/en/players/a816dbfb/Danilo-Santos,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Danilo__Botafogo_-removebg-preview.png,Meio-campo
Douglas Santos,Zenit,Convocado,https://fbref.com/en/players/c50e5bba/Douglas-Santos,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Douglas_Santos__Zenit_-removebg-preview.png,Defensor
Ederson,Fenerbahçe,Convocado,https://fbref.com/en/players/3bb7b8b4/Ederson,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Ederson__Atalanta_-removebg-preview.png,GOLEIRO
Éderson José,Atalanta,Pré-Lista,https://fbref.com/en/players/a9202def/Ederson,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Ederson__Atalanta_-removebg-preview.png,Meio-campo
Endrick,Lyon,Convocado,https://fbref.com/en/players/a2728fbf/Endrick,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Endrick__Lyon_-removebg-preview.png,Atacante
Fabinho,Al-Ittihad,Convocado,https://fbref.com/en/players/7f3b388c/Fabinho,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Fabinho__Al-Ittihad_-removebg-preview.png,Meio-campo
Fabricio Bruno,Cruzeiro,Pré-Lista,https://fbref.com/en/players/470d197b/Fabricio-Bruno,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Fabricio_Bruno__Cruzeiro_-removebg-preview.png,Defensor
Gabriel Jesus,Arsenal,Pré-Lista,https://fbref.com/en/players/b66315ae/Gabriel-Jesus,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Gabriel_Jesus__Arsenal_-removebg-preview.png,Atacante
Gabriel Magalhães,Arsenal,Convocado,https://fbref.com/en/players/67ac5bb8/Gabriel-Magalhaes,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Gabriel_Magalh%C3%A3es__Arsenal_-removebg-preview.png,Defensor
Gabriel Martinelli,Arsenal,Convocado,https://fbref.com/en/players/48a5a5d6/Gabriel-Martinelli,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Gabriel_Martinelli__Arsenal_-removebg-preview.png,Atacante
Gabriel Sara,Galatasaray,Pré-Lista,https://fbref.com/en/players/135d500d/Gabriel-Sara,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Gabriel_Sara__Galatasaray_-removebg-preview.png,Meio-campo
