Clube,País,Liga,Link_LogoClube,Link_LogoLiga,Link_Bandeira
Al-Ahli,Arábia Saudita,Saudi Pro League,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Al-Ahli.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Saudi%20Pro%20League.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Ar%C3%A1bia%20Saudita.png
Al-Ittihad,Arábia Saudita,Saudi Pro League,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Al-Ittihad.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Saudi%20Pro%20League.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Ar%C3%A1bia%20Saudita.png
Al-Nassr,Arábia Saudita,Saudi Pro League,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Al-Nassr.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Saudi%20Pro%20League.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Ar%C3%A1bia%20Saudita.png
Bahia,Brasil,Campeonato Brasileiro Série A,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Bahia.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Campeonato%20Brasileiro%20S%C3%A9rie%20A.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Brasil.png
Botafogo,Brasil,Campeonato Brasileiro Série A,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Botafogo.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Campeonato%20Brasileiro%20S%C3%A9rie%20A.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Brasil.png
Corinthians,Brasil,Campeonato Brasileiro Série A,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Corinthians.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Campeonato%20Brasileiro%20S%C3%A9rie%20A.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Brasil.png
Cruzeiro,Brasil,Campeonato Brasileiro Série A,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Cruzeiro.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Campeonato%20Brasileiro%20S%C3%A9rie%20A.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Brasil.png
Flamengo,Brasil,Campeonato Brasileiro Série A,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Flamengo.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Campeonato%20Brasileiro%20S%C3%A9rie%20A.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Brasil.png
Grêmio,Brasil,Campeonato Brasileiro Série A,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Gr%C3%AAmio.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Campeonato%20Brasileiro%20S%C3%A9rie%20A.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Brasil.png
Palmeiras,Brasil,Campeonato Brasileiro Série A,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Palmeiras.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Campeonato%20Brasileiro%20S%C3%A9rie%20A.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Brasil.png
