Nome,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_1,Ast_1,G+A_1,G-PK_1,G+A-PK,Matches
Alex Sandro,2011-2012,20,Porto,pt POR,1. Primeira Liga,1st,7,4,415,4.6,1,0,1,1,0,0,2,0,0.22,0.00,0.22,0.22,0.22,Matches
Alex Sandro,2012-2013,21,Porto,pt POR,1. Primeira Liga,1st,25,24,"2,148",23.9,1,2,3,1,0,0,6,0,0.04,0.08,0.13,0.04,0.13,Matches
Alex Sandro,2013-2014,22,Porto,pt POR,1. Primeira Liga,3rd,26,26,"2,294",25.5,0,2,2,0,0,0,13,0,0.00,0.08,0.08,0.00,0.08,Matches
Alex Sandro,2014-2015,23,Porto,pt POR,1. Primeira Liga,2nd,28,28,"2,506",27.8,1,3,4,1,0,0,9,1,0.04,0.11,0.14,0.04,0.14,Matches
Alex Sandro,2015-2016,24,Porto,pt POR,1. Primeira Liga,3rd,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Alex Sandro,2015-2016,24,Juventus,it ITA,1. Serie A,1st,22,15,"1,501",16.7,2,3,5,2,0,0,7,1,0.12,0.18,0.30,0.12,0.30,Matches
Alex Sandro,2016-2017,25,Juventus,it ITA,1. Serie A,1st,27,25,"2,312",25.7,3,4,7,3,0,0,5,0,0.12,0.16,0.27,0.12,0.27,Matches
Alex Sandro,2017-2018,26,Juventus,it ITA,1. Serie A,1st,26,23,"2,117",23.5,4,3,7,4,0,0,8,0,0.17,0.13,0.30,0.17,0.30,Matches
Alex Sandro,2018-2019,27,Juventus,it ITA,1. Serie A,1st,31,28,"2,387",26.5,1,2,3,1,0,0,7,0,0.04,0.08,0.11,0.04,0.11,Matches
Alex Sandro,2019-2020,28,Juventus,it ITA,1. Serie A,1st,29,27,"2,385",26.5,1,3,4,1,0,0,4,0,0.04,0.11,0.15,0.04,0.15,Matches
Alex Sandro,2020-2021,29,Juventus,it ITA,1. Serie A,4th,26,20,"1,858",20.6,2,1,3,2,0,0,2,0,0.10,0.05,0.15,0.10,0.15,Matches
Alex Sandro,2021-2022,30,Juventus,it ITA,1. Serie A,4th,28,17,"1,780",19.8,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches
Alex Sandro,2022-2023,31,Juventus,it ITA,1. Serie A,7th,25,21,"1,787",19.9,0,1,1,0,0,0,5,1,0.00,0.05,0.05,0.00,0.05,Matches
Alex Sandro,2023-2024,32,Juventus,it ITA,1. Serie A,3rd,16,8,721,8.0,1,0,1,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,Matches
Alex Sandro,2024,33,Flamengo,br BRA,1. Série A,3rd,8,5,512,5.7,0,1,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,Matches
Alex Sandro,2025,34,Flamengo,br BRA,1. Série A,1st,20,19,"1,544",17.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
